State,Year,mme,population,Deaths,deaths_percap,mme_percap
KY,2011,2755176.2563814684,4316040.0,605.0,0.00014017478985366215,0.6383574425587966
KY,2012,2627707.444423752,4340167.0,704.0,0.0001622057400095434,0.6054392479422456
KY,2013,0.0,4359232.0,611.0,0.0001401623038186543,0.0
KY,2014,0.0,4378297.0,654.0,0.00014937314668237445,0.0
KY,2015,0.0,4397353.0,830.0,0.00018874991386863871,0.0
LA,2003,0.0,4493665.0,354.0,7.877756797625101e-05,0.0
LA,2004,0.0,4506685.0,335.0,7.433401713232675e-05,0.0
LA,2005,0.0,4495670.0,466.0,0.00010365529498384,0.0
LA,2006,1525601.7653543232,4302665.0,509.0,0.00011829877529391668,0.3545713564393982
LA,2007,1621515.0985522917,4375581.0,562.0,0.00012844008601372025,0.37058280912918573
LA,2008,1763487.1692777176,4435586.0,428.0,9.649232367493269e-05,0.3975770437722812
LA,2009,1807101.2250979252,4411546.0,382.0,8.659095926915416e-05,0.40962991774265195
LA,2010,1848681.0549036379,4429940.0,379.0,8.555420615177633e-05,0.41731514533010333
LA,2011,1994458.4449533832,4484596.0,372.0,8.295061584142696e-05,0.44473536634144595
LA,2012,2027672.7643479838,4529605.0,377.0,8.32302154382115e-05,0.4476489151588237
LA,2013,0.0,4561484.0,624.0,0.0001367975860487508,0.0
LA,2014,0.0,4593363.0,554.0,0.0001206088001318424,0.0
LA,2015,0.0,4625253.0,649.0,0.0001403166486244104,0.0
MA,2003,0.0,6420357.0,725.0,0.0001129220695983105,0.0
MA,2004,0.0,6407382.0,558.0,8.708705053015413e-05,0.0
MA,2005,0.0,6429137.0,690.0,0.0001073238912158817,0.0
MA,2006,1660689.6878779016,6410084.0,870.0,0.00013572365042330178,0.2590745593783017
MA,2007,1825427.0112873644,6431559.0,848.0,0.00013184983609728217,0.28382341066720596
MA,2008,1876878.7370215943,6468967.0,717.0,0.00011083686158856584,0.29013577237626875
MA,2009,2020513.2261402444,6511176.0,726.0,0.00011150059528416986,0.31031463842172974
MA,2010,2097147.131918018,6477096.0,656.0,0.00010127995632610663,0.32377891757633637
MA,2011,2205117.1651589577,6512227.0,747.0,0.00011470730366125136,0.3386118397222575
MA,2012,2261496.711988997,6560595.0,805.0,0.0001227022853872248,0.3447090869027881
MA,2013,0.0,6608925.0,1029.0,0.00015569854401434425,0.0
MA,2014,0.0,6657255.0,1220.0,0.00018325871549159525,0.0
MA,2015,0.0,6705586.0,1648.0,0.0002457652470641641,0.0
MD,2003,0.0,5512310.0,636.0,0.00011537812641161328,0.0
MD,2004,0.0,5561332.0,538.0,9.673941422666368e-05,0.0
MD,2005,0.0,5573163.0,521.0,9.34837183122044e-05,0.0
MD,2006,1512334.6216871259,5627367.0,645.0,0.00011461843522912225,0.2687463998148914
MD,2007,1711849.713727714,5653408.0,623.0,0.00011019901623940815,0.3027996057825145
MD,2008,1898011.591606519,5684965.0,570.0,0.00010026446952619761,0.3338651322578976
